"year","age","schooling","income","party","philosophy","legal","gender"
1998,56,16,"$25000 or more","Ind,near rep","Conservative",0,"Male"
1998,24,13,"$25000 or more","Ind,near rep","Slghtly conservative",0,"Male"
1998,54,18,"$25000 or more","Other party","Conservative",1,"Male"
1998,41,14,"Refused","Strong democrat","Slightly liberal",0,"Female"
1998,39,12,"$10000 - 14999","Strong democrat","Slightly liberal",0,"Male"
1998,37,13,"$15000 - 19999","Not str democrat","Liberal",1,"Male"
1998,62,10,"$20000 - 24999","Ind,near dem","Moderate",1,"Male"
1998,69,12,"$20000 - 24999","Strong democrat","Liberal",0,"Male"
1998,74,16,"$10000 - 14999","Independent","Slghtly conservative",0,"Male"
1998,40,9,"$20000 - 24999","Ind,near dem","Moderate",0,"Male"
1998,54,16,"$20000 - 24999","Strong democrat","Conservative",1,"Male"
1998,53,15,"$25000 or more","Not str democrat","Moderate",0,"Female"
1998,32,9,"$25000 or more","Ind,near rep","Extrmly conservative",0,"Male"
1998,28,13,"$25000 or more","Strong democrat","Moderate",0,"Male"
1998,59,12,"$25000 or more","Not str republican","Conservative",0,"Male"
1998,53,12,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,64,12,"Refused","Strong democrat","Conservative",0,"Male"
1998,46,15,"$25000 or more","Strong republican","Extrmly conservative",1,"Male"
1998,52,12,"$25000 or more","Not str republican","Conservative",0,"Male"
1998,54,16,"$25000 or more","Ind,near rep","Slghtly conservative",1,"Male"
1998,51,16,"$25000 or more","Ind,near rep","Slghtly conservative",0,"Male"
1998,69,12,"Refused","Strong republican","Conservative",0,"Male"
1998,51,16,"$25000 or more","Ind,near dem","Slightly liberal",0,"Male"
1998,83,15,"Refused","Ind,near dem","Slghtly conservative",0,"Female"
1998,51,17,"$25000 or more","Independent","Moderate",0,"Male"
1998,27,18,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,41,11,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,41,12,"Lt $1000","Not str democrat","Moderate",1,"Male"
1998,47,12,"$25000 or more","Independent","Conservative",0,"Male"
1998,33,12,"$25000 or more","Ind,near dem","Conservative",0,"Male"
1998,82,12,"$15000 - 19999","Ind,near dem","Moderate",0,"Male"
1998,74,20,"$15000 - 19999","Strong republican","Conservative",0,"Female"
1998,50,16,"Refused","Ind,near dem","Moderate",1,"Female"
1998,25,16,"Refused","Independent","Moderate",1,"Male"
1998,64,16,"$25000 or more","Ind,near dem","Liberal",1,"Female"
1998,44,18,"$25000 or more","Strong democrat","Extremely liberal",1,"Male"
1998,27,16,"$25000 or more","Not str democrat","Slghtly conservative",0,"Male"
1998,80,14,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,62,15,"Refused","Independent","Moderate",0,"Male"
1998,81,11,"Refused","Ind,near dem","Extremely liberal",1,"Male"
1998,33,8,"$25000 or more","Independent","Slightly liberal",0,"Male"
1998,37,11,"$6000 to 6999","Ind,near dem","Extrmly conservative",1,"Male"
1998,76,16,"Refused","Ind,near rep","Conservative",0,"Male"
1998,29,14,"$25000 or more","Strong democrat","Slghtly conservative",0,"Male"
1998,39,16,"$25000 or more","Ind,near dem","Slightly liberal",1,"Female"
1998,35,13,"$15000 - 19999","Not str democrat","Slghtly conservative",0,"Male"
1998,26,11,"$25000 or more","Strong democrat","Extremely liberal",1,"Male"
1998,87,8,"$7000 to 7999","Independent","Moderate",0,"Female"
1998,34,15,"$25000 or more","Ind,near rep","Slghtly conservative",0,"Male"
1998,35,12,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1998,36,12,"$25000 or more","Not str democrat","Extrmly conservative",1,"Male"
1998,50,14,"$25000 or more","Independent","Moderate",0,"Male"
1998,27,16,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,64,18,"$20000 - 24999","Strong democrat","Moderate",0,"Male"
1998,31,14,"$25000 or more","Independent","Moderate",0,"Male"
1998,32,12,"$1000 to 2999","Not str republican","Moderate",0,"Male"
1998,78,12,"$6000 to 6999","Strong democrat","Slightly liberal",0,"Female"
1998,29,18,"$25000 or more","Ind,near dem","Moderate",0,"Female"
1998,36,13,"$20000 - 24999","Strong democrat","Extremely liberal",0,"Female"
1998,23,16,"$25000 or more","Ind,near dem","Slightly liberal",0,"Male"
1998,50,16,"$25000 or more","Independent","Moderate",1,"Male"
1998,44,16,"$25000 or more","Independent","Conservative",0,"Female"
1998,28,14,"$25000 or more","Independent","Slghtly conservative",1,"Male"
1998,38,16,"$25000 or more","Not str democrat","Moderate",1,"Female"
1998,28,16,"$25000 or more","Strong democrat","Slightly liberal",1,"Female"
1998,53,20,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,26,16,"$25000 or more","Not str democrat","Slightly liberal",1,"Female"
1998,70,14,"$10000 - 14999","Not str republican","Slghtly conservative",0,"Female"
1998,32,16,"Refused","Ind,near dem","Moderate",0,"Male"
1998,40,16,"$25000 or more","Not str republican","Moderate",0,"Male"
1998,32,12,"$25000 or more","Not str democrat","Conservative",0,"Male"
1998,51,16,"$25000 or more","Ind,near rep","Moderate",0,"Female"
1998,23,14,"$15000 - 19999","Ind,near dem","Moderate",1,"Male"
1998,60,14,"$20000 - 24999","Strong democrat","Slightly liberal",1,"Female"
1998,46,10,"$25000 or more","Strong democrat","Extrmly conservative",0,"Male"
1998,71,7,"$4000 to 4999","Strong democrat","Moderate",0,"Male"
1998,46,11,"$4000 to 4999","Strong democrat","Slghtly conservative",1,"Male"
1998,42,15,"$25000 or more","Strong democrat","Conservative",0,"Male"
1998,80,4,"$10000 - 14999","Strong democrat","Moderate",0,"Female"
1998,81,18,"$20000 - 24999","Not str republican","Conservative",0,"Male"
1998,75,6,"$8000 to 9999","Strong republican","Conservative",0,"Male"
1998,58,11,"$1000 to 2999","Not str democrat","Moderate",0,"Male"
1998,49,12,"$15000 - 19999","Strong democrat","Moderate",1,"Male"
1998,79,5,"$3000 to 3999","Not str democrat","Moderate",0,"Male"
1998,80,6,"$6000 to 6999","Strong democrat","Moderate",0,"Female"
1998,49,15,"$10000 - 14999","Not str republican","Moderate",0,"Female"
1998,28,14,"$20000 - 24999","Ind,near dem","Liberal",1,"Female"
1998,23,15,"$25000 or more","Ind,near rep","Moderate",1,"Male"
1998,43,16,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,18,11,"$25000 or more","Independent","Moderate",1,"Male"
1998,54,20,"$10000 - 14999","Strong democrat","Slightly liberal",1,"Female"
1998,48,18,"$25000 or more","Ind,near dem","Liberal",0,"Male"
1998,26,14,"$6000 to 6999","Not str republican","Moderate",0,"Male"
1998,39,18,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,39,15,"$25000 or more","Not str democrat","Slghtly conservative",0,"Female"
1998,39,16,"$25000 or more","Independent","Moderate",1,"Female"
1998,29,12,"$15000 - 19999","Strong democrat","Moderate",0,"Female"
1998,37,13,"$25000 or more","Independent","Slghtly conservative",0,"Male"
1998,49,16,"$25000 or more","Not str democrat","Moderate",1,"Male"
1998,31,16,"$25000 or more","Ind,near dem","Liberal",0,"Female"
1998,48,11,"$10000 - 14999","Independent","Slightly liberal",1,"Female"
1998,41,16,"$25000 or more","Independent","Slightly liberal",0,"Male"
1998,66,17,"$15000 - 19999","Not str republican","Conservative",0,"Female"
1998,48,14,"$25000 or more","Independent","Slghtly conservative",0,"Male"
1998,68,12,"$15000 - 19999","Not str democrat","Moderate",0,"Female"
1998,26,14,"Refused","Independent","Liberal",1,"Male"
1998,39,16,"$25000 or more","Independent","Slightly liberal",0,"Female"
1998,27,16,"$25000 or more","Strong republican","Moderate",1,"Male"
1998,50,14,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1998,51,17,"$25000 or more","Ind,near rep","Moderate",0,"Female"
1998,38,16,"$20000 - 24999","Strong republican","Extrmly conservative",0,"Female"
1998,76,14,"$10000 - 14999","Independent","Extremely liberal",1,"Female"
1998,55,11,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1998,33,12,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,78,14,"$7000 to 7999","Not str democrat","Moderate",0,"Female"
1998,43,14,"$25000 or more","Not str democrat","Liberal",1,"Female"
1998,42,11,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,44,12,"$25000 or more","Ind,near dem","Slightly liberal",0,"Male"
1998,71,10,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1998,22,16,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1998,41,12,"$25000 or more","Strong democrat","Slightly liberal",1,"Male"
1998,42,12,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,31,12,"$25000 or more","Ind,near rep","Slghtly conservative",0,"Male"
1998,25,16,"$25000 or more","Independent","Liberal",0,"Male"
1998,70,12,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,73,12,"$20000 - 24999","Not str democrat","Slghtly conservative",0,"Male"
1998,59,13,"$10000 - 14999","Ind,near dem","Slghtly conservative",1,"Male"
1998,42,12,"$25000 or more","Not str democrat","Moderate",0,"Female"
1998,58,10,"$15000 - 19999","Independent","Moderate",0,"Male"
1998,52,13,"$25000 or more","Independent","Conservative",0,"Male"
1998,45,12,"$25000 or more","Not str democrat","Liberal",1,"Male"
1998,55,14,"$25000 or more","Ind,near dem","Slightly liberal",0,"Male"
1998,69,12,"$25000 or more","Ind,near rep","Extrmly conservative",0,"Male"
1998,20,12,"$25000 or more","Ind,near rep","Liberal",1,"Male"
1998,76,13,"$25000 or more","Strong republican","Moderate",0,"Male"
1998,33,12,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,41,12,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1998,83,6,"$7000 to 7999","Strong democrat","Slghtly conservative",0,"Female"
1998,44,16,"$25000 or more","Not str republican","Moderate",0,"Male"
1998,47,16,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,47,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,42,12,"$25000 or more","Other party","Slghtly conservative",0,"Male"
1998,52,12,"$25000 or more","Not str republican","Moderate",0,"Male"
1998,52,12,"$25000 or more","Strong republican","Moderate",0,"Male"
1998,67,10,"$25000 or more","Ind,near rep","Conservative",0,"Male"
1998,23,12,"$25000 or more","Independent","Moderate",1,"Male"
1998,36,10,"$20000 - 24999","Independent","Conservative",0,"Female"
1998,78,9,"$5000 to 5999","Not str democrat","Liberal",0,"Female"
1998,71,13,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,86,16,"$25000 or more","Strong republican","Moderate",0,"Male"
1998,85,8,"$25000 or more","Ind,near rep","Moderate",1,"Female"
1998,30,12,"$15000 - 19999","Not str republican","Moderate",0,"Male"
1998,25,10,"$25000 or more","Independent","Moderate",0,"Male"
1998,42,14,"$25000 or more","Ind,near rep","Slghtly conservative",0,"Female"
1998,37,14,"$25000 or more","Independent","Slightly liberal",0,"Female"
1998,50,14,"$25000 or more","Independent","Slghtly conservative",0,"Male"
1998,29,13,"$10000 - 14999","Not str republican","Slghtly conservative",0,"Female"
1998,42,12,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1998,59,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,47,12,"$25000 or more","Strong republican","Conservative",1,"Male"
1998,46,12,"$25000 or more","Independent","Slightly liberal",0,"Male"
1998,48,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,69,12,"$15000 - 19999","Ind,near dem","Moderate",0,"Female"
1998,74,11,"$10000 - 14999","Ind,near dem","Slightly liberal",1,"Female"
1998,33,14,"$20000 - 24999","Independent","Moderate",1,"Female"
1998,40,12,"$25000 or more","Not str republican","Moderate",1,"Female"
1998,47,16,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,20,13,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,49,12,"$25000 or more","Not str republican","Conservative",0,"Male"
1998,22,15,"$15000 - 19999","Not str democrat","Slghtly conservative",0,"Male"
1998,34,13,"$25000 or more","Not str republican","Moderate",0,"Male"
1998,24,17,"$5000 to 5999","Not str republican","Moderate",0,"Female"
1998,37,13,"$25000 or more","Not str republican","Slightly liberal",0,"Male"
1998,35,18,"$25000 or more","Independent","Moderate",1,"Male"
1998,34,12,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,37,16,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,39,13,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,61,13,"$25000 or more","Ind,near dem","Moderate",0,"Female"
1998,49,12,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1998,40,17,"$15000 - 19999","Ind,near rep","Slghtly conservative",0,"Male"
1998,27,12,"$20000 - 24999","Not str republican","Slghtly conservative",0,"Male"
1998,53,13,"$20000 - 24999","Ind,near rep","Moderate",0,"Female"
1998,41,12,"$20000 - 24999","Not str republican","Conservative",1,"Male"
1998,22,15,"Lt $1000","Other party","Moderate",1,"Female"
1998,23,15,"$6000 to 6999","Not str republican","Moderate",1,"Male"
1998,32,16,"$20000 - 24999","Strong democrat","Slightly liberal",0,"Female"
1998,25,16,"$20000 - 24999","Not str republican","Moderate",0,"Female"
1998,73,12,"$25000 or more","Not str republican","Conservative",1,"Male"
1998,62,7,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,51,8,"$25000 or more","Strong republican","Moderate",0,"Male"
1998,39,12,"$25000 or more","Not str republican","Conservative",0,"Male"
1998,60,6,"$5000 to 5999","Independent","Moderate",0,"Female"
1998,35,10,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,45,12,"$20000 - 24999","Ind,near dem","Extremely liberal",1,"Female"
1998,37,8,"$10000 - 14999","Not str republican","Moderate",0,"Male"
1998,24,15,"$25000 or more","Not str democrat","Conservative",0,"Male"
1998,47,8,"$10000 - 14999","Not str republican","Slightly liberal",0,"Male"
1998,33,12,"$15000 - 19999","Not str republican","Slightly liberal",0,"Female"
1998,61,16,"Refused","Not str democrat","Moderate",0,"Male"
1998,43,7,"$7000 to 7999","Ind,near dem","Moderate",0,"Male"
1998,24,10,"$10000 - 14999","Independent","Moderate",0,"Male"
1998,34,15,"$25000 or more","Strong democrat","Slightly liberal",0,"Male"
1998,32,13,"Refused","Not str democrat","Liberal",0,"Female"
1998,74,8,"$7000 to 7999","Not str democrat","Moderate",0,"Female"
1998,40,15,"$10000 - 14999","Strong republican","Liberal",0,"Male"
1998,50,15,"$15000 - 19999","Strong democrat","Moderate",0,"Male"
1998,38,12,"$25000 or more","Not str republican","Moderate",0,"Male"
1998,65,13,"$15000 - 19999","Ind,near dem","Conservative",0,"Male"
1998,52,11,"Refused","Strong democrat","Slightly liberal",0,"Female"
1998,51,12,"$10000 - 14999","Not str republican","Extremely liberal",1,"Female"
1998,42,12,"$25000 or more","Ind,near rep","Slightly liberal",0,"Male"
1998,62,10,"$15000 - 19999","Ind,near rep","Moderate",0,"Male"
1998,50,20,"$25000 or more","Independent","Moderate",1,"Male"
1998,33,12,"$25000 or more","Ind,near rep","Moderate",1,"Male"
1998,42,12,"$25000 or more","Independent","Liberal",1,"Male"
1998,44,19,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,77,9,"$20000 - 24999","Not str republican","Slightly liberal",0,"Male"
1998,33,17,"$25000 or more","Not str democrat","Slightly liberal",1,"Male"
1998,28,16,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1998,36,13,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,31,12,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,29,14,"$25000 or more","Independent","Slghtly conservative",0,"Male"
1998,25,12,"$8000 to 9999","Independent","Moderate",1,"Male"
1998,66,20,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,41,12,"$25000 or more","Independent","Moderate",1,"Male"
1998,41,14,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1998,73,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,70,10,"$10000 - 14999","Strong democrat","Liberal",0,"Male"
1998,52,13,"$25000 or more","Ind,near dem","Slghtly conservative",0,"Male"
1998,59,7,"$25000 or more","Strong democrat","Moderate",0,"Female"
1998,73,12,"$20000 - 24999","Strong democrat","Moderate",1,"Male"
1998,25,14,"Refused","Not str democrat","Slghtly conservative",0,"Male"
1998,75,13,"$25000 or more","Strong democrat","Conservative",0,"Male"
1998,52,18,"$25000 or more","Ind,near rep","Moderate",0,"Female"
1998,30,14,"$25000 or more","Not str republican","Moderate",1,"Female"
1998,40,12,"$15000 - 19999","Strong democrat","Moderate",1,"Male"
1998,26,12,"$8000 to 9999","Ind,near dem","Conservative",0,"Female"
1998,26,14,"$7000 to 7999","Independent","Liberal",1,"Male"
1998,65,12,"$10000 - 14999","Strong republican","Moderate",0,"Male"
1998,46,9,"$15000 - 19999","Independent","Slghtly conservative",0,"Male"
1998,47,13,"$20000 - 24999","Ind,near rep","Moderate",1,"Male"
1998,36,14,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,38,16,"$25000 or more","Not str democrat","Conservative",1,"Male"
1998,36,12,"$25000 or more","Strong republican","Extrmly conservative",0,"Male"
1998,18,10,"$25000 or more","Ind,near rep","Slightly liberal",1,"Female"
1998,50,12,"$25000 or more","Strong democrat","Conservative",0,"Male"
1998,75,9,"$4000 to 4999","Not str democrat","Moderate",0,"Female"
1998,66,12,"$15000 - 19999","Independent","Conservative",0,"Male"
1998,68,12,"$25000 or more","Other party","Moderate",0,"Male"
1998,63,10,"$6000 to 6999","Strong democrat","Moderate",0,"Female"
1998,58,13,"$20000 - 24999","Not str republican","Moderate",0,"Male"
1998,33,14,"$10000 - 14999","Not str republican","Moderate",0,"Female"
1998,70,8,"$4000 to 4999","Not str democrat","Slightly liberal",1,"Male"
1998,40,12,"$25000 or more","Not str republican","Conservative",0,"Male"
1998,31,13,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1998,76,9,"Refused","Ind,near dem","Moderate",0,"Male"
1998,46,12,"$10000 - 14999","Not str republican","Conservative",0,"Female"
1998,70,12,"$10000 - 14999","Not str democrat","Moderate",0,"Male"
1998,39,15,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1998,44,12,"$25000 or more","Not str republican","Conservative",0,"Male"
1998,51,14,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1998,56,9,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1998,38,12,"$25000 or more","Ind,near rep","Extrmly conservative",0,"Male"
1998,38,12,"$20000 - 24999","Not str democrat","Moderate",1,"Male"
1998,45,12,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1998,48,16,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,23,14,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1998,85,12,"$10000 - 14999","Strong republican","Slghtly conservative",0,"Male"
1998,33,14,"$25000 or more","Independent","Moderate",0,"Male"
1998,26,13,"$5000 to 5999","Ind,near dem","Moderate",0,"Female"
1998,71,13,"$20000 - 24999","Not str democrat","Moderate",0,"Female"
1998,48,16,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,67,10,"Refused","Not str republican","Moderate",0,"Male"
1998,41,12,"$15000 - 19999","Not str democrat","Moderate",0,"Female"
1998,39,12,"$20000 - 24999","Independent","Slghtly conservative",1,"Male"
1998,54,16,"$25000 or more","Ind,near dem","Moderate",0,"Male"
1998,66,8,"$15000 - 19999","Not str democrat","Slightly liberal",0,"Male"
1998,58,12,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,41,14,"$25000 or more","Strong democrat","Extrmly conservative",0,"Male"
1998,29,10,"$25000 or more","Not str republican","Slightly liberal",0,"Male"
1998,47,12,"Refused","Strong republican","Moderate",1,"Male"
1998,51,12,"$15000 - 19999","Strong democrat","Moderate",0,"Male"
1998,39,12,"$25000 or more","Not str republican","Conservative",0,"Female"
1998,34,12,"$25000 or more","Independent","Moderate",0,"Male"
1998,42,12,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,43,16,"$15000 - 19999","Strong republican","Conservative",0,"Male"
1998,41,11,"$25000 or more","Strong democrat","Slghtly conservative",0,"Female"
1998,43,14,"$25000 or more","Strong democrat","Moderate",0,"Female"
1998,20,11,"$25000 or more","Not str republican","Moderate",0,"Female"
1998,51,12,"$25000 or more","Strong democrat","Slightly liberal",0,"Male"
1998,71,14,"$25000 or more","Not str democrat","Conservative",0,"Female"
1998,25,12,"$25000 or more","Not str republican","Moderate",0,"Male"
1998,42,10,"$15000 - 19999","Not str democrat","Moderate",0,"Female"
1998,54,14,"$25000 or more","Not str republican","Slghtly conservative",1,"Male"
1998,19,11,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,41,12,"$25000 or more","Strong republican","Moderate",0,"Male"
1998,73,11,"$25000 or more","Not str democrat","Slghtly conservative",0,"Male"
1998,37,12,"$15000 - 19999","Not str republican","Slightly liberal",0,"Male"
1998,45,12,"$10000 - 14999","Strong democrat","Moderate",0,"Female"
1998,50,16,"$25000 or more","Ind,near rep","Slghtly conservative",1,"Male"
1998,52,12,"$25000 or more","Not str republican","Moderate",1,"Female"
1998,29,16,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,77,12,"$25000 or more","Not str republican","Slightly liberal",0,"Female"
1998,32,13,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,40,9,"$10000 - 14999","Ind,near rep","Conservative",0,"Male"
1998,22,11,"$25000 or more","Strong democrat","Liberal",1,"Female"
1998,33,12,"$25000 or more","Not str republican","Conservative",0,"Male"
1998,26,9,"$25000 or more","Not str republican","Moderate",0,"Female"
1998,38,12,"$25000 or more","Not str democrat","Moderate",1,"Male"
1998,37,16,"$25000 or more","Strong republican","Conservative",0,"Female"
1998,38,12,"$25000 or more","Not str republican","Slghtly conservative",0,"Female"
1998,34,12,"$25000 or more","Independent","Slightly liberal",0,"Male"
1998,37,12,"$25000 or more","Ind,near dem","Moderate",1,"Female"
1998,48,4,"$15000 - 19999","Ind,near dem","Conservative",0,"Female"
1998,54,16,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1998,83,8,"$3000 to 3999","Independent","Liberal",0,"Female"
1998,75,12,"$15000 - 19999","Strong democrat","Slghtly conservative",0,"Female"
1998,77,12,"$25000 or more","Not str republican","Slghtly conservative",1,"Male"
1998,65,8,"$7000 to 7999","Independent","Conservative",0,"Male"
1998,23,12,"$15000 - 19999","Not str republican","Slghtly conservative",0,"Male"
1998,24,15,"$20000 - 24999","Independent","Liberal",0,"Female"
1998,31,12,"$10000 - 14999","Not str republican","Liberal",0,"Female"
1998,25,16,"$8000 to 9999","Ind,near rep","Liberal",0,"Male"
1998,77,8,"$8000 to 9999","Ind,near dem","Moderate",0,"Female"
1998,24,13,"$10000 - 14999","Strong democrat","Liberal",1,"Male"
1998,51,12,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,22,12,"$10000 - 14999","Independent","Moderate",0,"Male"
1998,25,13,"$20000 - 24999","Independent","Moderate",0,"Male"
1998,36,16,"$25000 or more","Not str republican","Moderate",0,"Male"
1998,25,13,"$25000 or more","Not str republican","Moderate",1,"Male"
1998,70,14,"$25000 or more","Ind,near dem","Slightly liberal",0,"Male"
1998,26,16,"$25000 or more","Not str republican","Slightly liberal",1,"Male"
1998,28,12,"$25000 or more","Ind,near dem","Slghtly conservative",1,"Male"
1998,40,12,"$25000 or more","Other party","Conservative",1,"Female"
1998,42,9,"$25000 or more","Independent","Moderate",1,"Male"
1998,54,12,"Refused","Other party","Moderate",0,"Female"
1998,46,12,"$15000 - 19999","Not str republican","Slghtly conservative",0,"Female"
1998,44,12,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1998,21,12,"$15000 - 19999","Strong democrat","Moderate",1,"Male"
1998,23,12,"$1000 to 2999","Ind,near dem","Slghtly conservative",0,"Male"
1998,51,10,"$4000 to 4999","Not str republican","Slightly liberal",1,"Male"
1998,76,12,"$15000 - 19999","Strong democrat","Moderate",0,"Female"
1998,26,13,"$25000 or more","Other party","Conservative",0,"Female"
1998,53,12,"$25000 or more","Not str republican","Moderate",0,"Female"
1998,33,13,"Refused","Not str democrat","Liberal",1,"Female"
1998,32,12,"$25000 or more","Other party","Slghtly conservative",0,"Female"
1998,56,9,"$4000 to 4999","Other party","Moderate",0,"Female"
1998,32,14,"$25000 or more","Independent","Conservative",1,"Male"
1998,80,11,"Refused","Strong republican","Conservative",0,"Male"
1998,35,14,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,42,12,"Refused","Independent","Moderate",0,"Female"
1998,65,12,"Refused","Strong democrat","Liberal",1,"Female"
1998,77,12,"Refused","Not str republican","Moderate",0,"Female"
1998,46,14,"$25000 or more","Not str democrat","Moderate",0,"Male"
1998,30,12,"$15000 - 19999","Independent","Moderate",0,"Male"
1998,85,12,"$20000 - 24999","Ind,near rep","Moderate",0,"Male"
1998,34,13,"Refused","Not str republican","Extrmly conservative",0,"Male"
1998,51,15,"$25000 or more","Ind,near dem","Liberal",1,"Female"
1998,72,15,"$25000 or more","Not str democrat","Slghtly conservative",1,"Female"
1998,41,17,"$25000 or more","Not str republican","Conservative",0,"Male"
1998,59,12,"$25000 or more","Ind,near dem","Moderate",0,"Female"
1998,54,12,"$8000 to 9999","Ind,near dem","Moderate",0,"Male"
1998,38,18,"$25000 or more","Ind,near rep","Slghtly conservative",0,"Female"
1998,84,12,"$15000 - 19999","Not str democrat","Slghtly conservative",0,"Male"
1998,31,13,"$5000 to 5999","Ind,near rep","Moderate",0,"Female"
1998,79,12,"$15000 - 19999","Ind,near dem","Slghtly conservative",0,"Male"
1998,58,18,"$25000 or more","Not str republican","Extrmly conservative",1,"Male"
1998,27,16,"$20000 - 24999","Not str democrat","Liberal",1,"Female"
1998,34,16,"$25000 or more","Not str republican","Conservative",0,"Male"
1998,21,14,"$25000 or more","Not str republican","Slghtly conservative",0,"Male"
1998,41,13,"$25000 or more","Strong republican","Conservative",0,"Female"
1998,82,12,"$7000 to 7999","Strong democrat","Moderate",0,"Female"
1998,65,13,"$25000 or more","Strong republican","Moderate",0,"Male"
1998,29,14,"$25000 or more","Strong republican","Liberal",0,"Female"
1998,25,12,"$20000 - 24999","Independent","Moderate",0,"Male"
1998,73,10,"$25000 or more","Not str republican","Extrmly conservative",0,"Male"
1998,50,12,"Refused","Strong republican","Moderate",0,"Female"
1998,40,9,"$8000 to 9999","Independent","Moderate",0,"Female"
1998,60,12,"$25000 or more","Not str democrat","Slightly liberal",0,"Male"
1998,35,13,"$25000 or more","Not str republican","Moderate",0,"Female"
1998,42,20,"$25000 or more","Strong republican","Conservative",0,"Male"
1998,36,10,"$15000 - 19999","Strong republican","Moderate",1,"Male"
1998,35,12,"$25000 or more","Not str republican","Moderate",0,"Female"
1998,76,6,"$10000 - 14999","Independent","Conservative",0,"Male"
1998,36,12,"$25000 or more","Ind,near rep","Moderate",1,"Female"
1998,29,11,"$20000 - 24999","Ind,near dem","Moderate",1,"Female"
1998,81,4,"$5000 to 5999","Strong democrat","Liberal",0,"Female"
1998,45,13,"$10000 - 14999","Not str republican","Moderate",1,"Female"
1998,74,14,"$25000 or more","Strong democrat","Conservative",1,"Male"
1998,71,14,"$25000 or more","Not str republican","Slightly liberal",0,"Male"
1998,43,12,"$25000 or more","Not str democrat","Moderate",0,"Female"
1998,43,12,"$25000 or more","Ind,near rep","Moderate",0,"Male"
1998,51,12,"$6000 to 6999","Strong republican","Conservative",0,"Female"
1998,59,4,"$10000 - 14999","Strong republican","Extrmly conservative",0,"Female"
1998,53,12,"$7000 to 7999","Not str republican","Liberal",0,"Female"
1998,21,14,"$8000 to 9999","Not str democrat","Liberal",1,"Male"
1998,51,10,"$15000 - 19999","Not str democrat","Slightly liberal",0,"Male"
1998,44,12,"$25000 or more","Not str democrat","Slghtly conservative",0,"Male"
